╨ ╯ . . . ╰ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ └
. . . . . . . . . . . . . . . ╟
. . . . . . . . . . . . . . . ╟
╮ . . . . . . . . . . . . . . ╟
╢ . . . . . . . . . . . . . . ╟
╢ . . . . . . . . . . . . . . ╰
╢ . . . . . . . . . . . . . . .
┐ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ╮ . . .
┘ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╯ . . ╭
╢ . . . . . . . . . . . . . . ╟
╢ . . . . . . . . . . . . . . ╟
╢ . . . . . . . . . . . . . . ╟
╢ . . . . . ╞ ═ ╘ ╛ ╡ . . . . ╟
╢ . . . . . . . ╟ ╢ . . . . . ╟
╢ . . . . . . . ╟ ╢ . . . . . ╟
┐ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ┌ ┐ ╮ ╥ . . ╭ ┌
