┘ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ ╨ └
╢ . . . . . . . . . . . . . . ╟
╢ . . . . . . . . . . . . . . ╟
╢ . . . . . . . . . . . . . . ╟
. . . . . . . . . . . . . . . ╟
. . . . . . . . . . . . . . . ╟
. . . . . . . . . . . . . . . ╟
╥ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ╥ ┌ 
█ █ █ █ █ █ █ █ █ █ █ █ █ █ █ █ 
█ █ █ █ █ █ █ █ █ █ █ █ █ █ █ █ 
█ █ █ █ █ █ █ █ █ █ █ █ █ █ █ █ 
█ █ █ █ █ █ █ █ █ █ █ █ █ █ █ █ 
█ █ █ █ █ █ █ █ █ █ █ █ █ █ █ █ 
█ █ █ █ █ █ █ █ █ █ █ █ █ █ █ █ 
█ █ █ █ █ █ █ █ █ █ █ █ █ █ █ █ 
█ █ █ █ █ █ █ █ █ █ █ █ █ █ █ █
