.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,1,1,1,1,1,1,.,.,.,.,.,00,07,0E,00,FF,88,11,FF
.,.,.,.,.,1,1,1,1,1,1,.,.,.,.,.,00,07,0E,00,FF,88,11,FF
.,.,.,.,1,1,3,1,3,1,1,1,.,.,.,.,00,2F,8F,00,FF,00,00,FF
.,.,.,.,1,0,1,1,1,3,3,1,.,.,.,.,00,0B,6F,00,FF,00,00,FF
.,.,.,1,3,1,3,1,3,1,0,1,1,.,.,.,01,AF,8D,08,EE,00,00,77
.,.,/.,1,1,1,1,1,1,1,1,3,1,.,.,.,#VALUE!,0F,1F,08,CC,00,00,77
.,.,1,3,1,1,2,1,1,3,1,1,1,1,.,.,13,2D,4F,0C,CC,00,00,33
.,.,1,1,1,1,1,1,2,1,1,1,1,1,.,.,03,0F,87,0C,CC,00,00,33
.,1,1,2,1,2,1,3,2,1,2,1,1,1,1,.,16,5B,A5,0E,88,00,00,11
.,1,2,1,2,1,2,1,1,2,1,2,1,2,1,.,25,A5,5A,4A,88,00,00,11
1,1,2,2,1,2,1,2,2,2,1,2,2,1,1,1,3C,5A,D2,87,00,00,00,00
